11,,北京市,,,,0,399388838,1163974589
1101,,北京市,市辖区,,,1,0,0
110101,,北京市,市辖区,东城区,,2,-225528,173036
001,,,,,东华门街道办事处,3,16430,-51535
002,,,,,景山街道办事处,3,88450,9450
003,,,,,交道口街道办事处,3,89429,-95910
004,,,,,安定门街道办事处,3,88711,121710
005,,,,,北新桥街道办事处,3,-21820,109420
006,,,,,东四街道办事处,3,-121930,-3480
007,,,,,朝阳门街道办事处,3,-108910,49750
008,,,,,建国门街道办事处,3,-90150,-24820
009,,,,,东直门街道办事处,3,239590,91740
010,,,,,和平里街道办事处,3,202420,-119260
011,,,,,前门街道办事处,3,-556280,-154100
012,,,,,崇文门外街道办事处,3,-14960,45400
013,,,,,东花市街道办事处,3,17949,189020
014,,,,,龙潭街道办事处,3,-120559,52170
015,,,,,体育馆路街道办事处,3,-1770,-143540
016,,,,,天坛街道办事处,3,22630,-232900
017,,,,,永定门外街道办事处,3,-236020,28500
110102,,北京市,市辖区,西城区,,2,551284,-415207
001,,,,,西长安街街道办事处,3,-162694,232147
003,,,,,新街口街道办事处,3,357960,-167680
007,,,,,月坛街道办事处,3,-252130,-224480
009,,,,,展览路街道办事处,3,176580,-18480
010,,,,,德胜街道办事处,3,214530,390570
011,,,,,金融街街道办事处,3,-409372,-186576
012,,,,,什刹海街道办事处,3,205808,173139
013,,,,,大栅栏街道办事处,3,-408876,134337
014,,,,,天桥街道办事处,3,-91300,30360
015,,,,,椿树街道办事处,3,99630,-172430
016,,,,,陶然亭街道办事处,3,-147930,3930
017,,,,,广安门内街道办事处,3,143350,-180900
018,,,,,牛街街道办事处,3,-60720,26220
019,,,,,白纸坊街道办事处,3,-101760,-8430
020,,,,,广安门外街道办事处,3,130620,-230740
110105,,北京市,市辖区,朝阳区,,2,687009,1575761
001,,,,,建外街道办事处,3,-518309,-449321
002,,,,,朝外街道办事处,3,191479,-43160
003,,,,,呼家楼街道办事处,3,-52379,154930
004,,,,,三里屯街道办事处,3,166890,-171130
005,,,,,左家庄街道办事处,3,118130,43050
006,,,,,香河园街道办事处,3,117920,-143140
007,,,,,和平街街道办事处,3,53030,-202780
008,,,,,安贞街道办事处,3,15140,-158410
009,,,,,亚运村街道办事处,3,161520,81670
010,,,,,小关街道办事处,3,25560,74800
011,,,,,酒仙桥街道办事处,3,-216460,740910
012,,,,,麦子店街道办事处,3,-298750,-213440
013,,,,,团结湖街道办事处,3,-35290,-55550
014,,,,,六里屯街道办事处,3,-94103,403186
015,,,,,八里庄街道办事处,3,-70117,-253156
016,,,,,双井街道办事处,3,-147850,-155240
017,,,,,劲松街道办事处,3,-155640,-31620
018,,,,,潘家园街道办事处,3,-133970,78070
